,outname,pyearnm,area,outcome,stname,pyear,agegrp,est_total,low_total,up_total,group,nsel,ncomp,wtintrr,pop,BSAE,low_sae,up_sae,ste_total,ste_sae,state,gen_corr,year,BSAE_perc
45310,any mental illness in the past year,2008-2009,0.0,AMIYR,National,9.0,4.0,40512.0,39591.0,41453.0,,118111.0,91258.0,0.7378,226064654.0,0.179212,0.17513,0.183368,474.0,0.002099,-5.0,0.0,2009,17.921200000000002
45430,any mental illness in the past year,2008-2009,1.0,AMIYR,Northeast,9.0,4.0,7616.0,7270.0,7976.0,,23419.0,17507.0,0.7123,41901944.0,0.181772,0.173496,0.190352,181.0,0.004317,-4.0,0.10805851758388654,2009,18.1772
45550,any mental illness in the past year,2008-2009,1.0,AMIYR,Midwest,9.0,4.0,9106.0,8779.0,9443.0,,33320.0,25744.0,0.7438,49602621.0,0.183584,0.176977,0.190381,171.0,0.003438,-3.0,0.07776567508597787,2009,18.3584
45670,any mental illness in the past year,2008-2009,1.0,AMIYR,South,9.0,4.0,14293.0,13763.0,14842.0,,35358.0,28097.0,0.7579,82476278.0,0.173314,0.166868,0.179955,277.0,0.003358,-2.0,0.0765483372623867,2009,17.3314
45790,any mental illness in the past year,2008-2009,1.0,AMIYR,West,9.0,4.0,9496.0,9029.0,9982.0,,26014.0,19910.0,0.7212,52083811.0,0.182324,0.173357,0.191647,244.0,0.004689,-1.0,0.07568027932442764,2009,18.232400000000002
45910,any mental illness in the past year,2008-2009,2.0,AMIYR,Alabama,9.0,4.0,607.0,535.0,686.0,2.0,1617.0,1255.0,0.7418,3480328.0,0.17436,0.153703,0.197146,39.0,0.011137,1.0,0.20157460295925012,2009,17.436
46030,any mental illness in the past year,2008-2009,2.0,AMIYR,Alaska,9.0,4.0,81.0,71.0,93.0,1.0,1539.0,1208.0,0.7717,486909.0,0.167189,0.14626,0.190444,6.0,0.01131,2.0,0.2089780324886267,2009,16.7189
46150,any mental illness in the past year,2008-2009,2.0,AMIYR,Arizona,9.0,4.0,812.0,706.0,930.0,2.0,1546.0,1217.0,0.7716,4736205.0,0.171475,0.149155,0.196364,57.0,0.012126,4.0,0.2179845161189709,2009,17.147499999999997
46270,any mental illness in the past year,2008-2009,2.0,AMIYR,Arkansas,9.0,4.0,414.0,366.0,467.0,5.0,1553.0,1217.0,0.7586,2114004.0,0.195972,0.173193,0.220946,26.0,0.012246,5.0,0.18779368234837743,2009,19.5972
46390,any mental illness in the past year,2008-2009,2.0,AMIYR,California,9.0,4.0,4690.0,4326.0,5078.0,2.0,6920.0,5098.0,0.6932,26898297.0,0.174356,0.160818,0.188777,193.0,0.007164,6.0,0.09734884307734618,2009,17.4356
46510,any mental illness in the past year,2008-2009,2.0,AMIYR,Colorado,9.0,4.0,697.0,611.0,793.0,4.0,1588.0,1227.0,0.7548,3681144.0,0.189479,0.165905,0.215538,47.0,0.012728,8.0,0.21735979933985394,2009,18.9479
46630,any mental illness in the past year,2008-2009,2.0,AMIYR,Connecticut,9.0,4.0,472.0,412.0,538.0,3.0,1636.0,1275.0,0.7456,2640507.0,0.178726,0.156211,0.203703,32.0,0.012131,9.0,0.20354394398691825,2009,17.8726
46750,any mental illness in the past year,2008-2009,2.0,AMIYR,Delaware,9.0,4.0,117.0,102.0,133.0,3.0,1586.0,1263.0,0.75,657820.0,0.177537,0.155248,0.202259,8.0,0.012007,10.0,0.2014627214820127,2009,17.7537
46870,any mental illness in the past year,2008-2009,2.0,AMIYR,District of Columbia,9.0,4.0,85.0,75.0,96.0,3.0,1532.0,1263.0,0.8057,472215.0,0.17987,0.158529,0.20339,5.0,0.011475,11.0,0.2080269275282826,2009,17.987000000000002
46990,any mental illness in the past year,2008-2009,2.0,AMIYR,Florida,9.0,4.0,2389.0,2200.0,2591.0,2.0,6100.0,4915.0,0.7573,14065719.0,0.169882,0.156434,0.184234,100.0,0.007124,12.0,0.09224395942860679,2009,16.9882
47110,any mental illness in the past year,2008-2009,2.0,AMIYR,Georgia,9.0,4.0,1152.0,1005.0,1315.0,1.0,1463.0,1165.0,0.747,6977493.0,0.165034,0.144006,0.188458,79.0,0.011382,13.0,0.22356517169529874,2009,16.5034
47230,any mental illness in the past year,2008-2009,2.0,AMIYR,Hawaii,9.0,4.0,168.0,147.0,192.0,2.0,1847.0,1270.0,0.6494,959278.0,0.175198,0.152978,0.199884,12.0,0.012012,15.0,0.17544617084397732,2009,17.5198
47350,any mental illness in the past year,2008-2009,2.0,AMIYR,Idaho,9.0,4.0,214.0,190.0,239.0,4.0,1579.0,1260.0,0.7656,1094705.0,0.195098,0.17372,0.218413,13.0,0.011461,16.0,0.1891351088555125,2009,19.5098
47470,any mental illness in the past year,2008-2009,2.0,AMIYR,Illinois,9.0,4.0,1590.0,1468.0,1719.0,1.0,6910.0,4986.0,0.6878,9529654.0,0.166816,0.154045,0.180421,64.0,0.006754,17.0,0.08627149459597445,2009,16.6816
47590,any mental illness in the past year,2008-2009,2.0,AMIYR,Indiana,9.0,4.0,960.0,851.0,1079.0,5.0,1545.0,1209.0,0.7769,4713814.0,0.203683,0.180594,0.2289,58.0,0.012367,18.0,0.1838809640244389,2009,20.3683
47710,any mental illness in the past year,2008-2009,2.0,AMIYR,Iowa,9.0,4.0,387.0,342.0,436.0,2.0,1561.0,1267.0,0.8062,2245281.0,0.172268,0.152291,0.194265,24.0,0.010711,19.0,0.1931245400082322,2009,17.2268
47830,any mental illness in the past year,2008-2009,2.0,AMIYR,Kansas,9.0,4.0,353.0,309.0,401.0,2.0,1581.0,1231.0,0.7542,2045557.0,0.17245,0.151156,0.19605,23.0,0.011461,20.0,0.21739761641346012,2009,17.244999999999997
47950,any mental illness in the past year,2008-2009,2.0,AMIYR,Kentucky,9.0,4.0,616.0,545.0,693.0,4.0,1547.0,1215.0,0.7381,3200419.0,0.192325,0.170169,0.216612,38.0,0.01187,21.0,0.1690260305174031,2009,19.232499999999998
