,outname,pyearnm,area,outcome,stname,pyear,agegrp,est_total,low_total,up_total,group,nsel,ncomp,wtintrr,pop,BSAE,low_sae,up_sae,ste_total,ste_sae,state,gen_corr,year,BSAE_perc
45382,serious mental illness in the past year,2008-2009,0.0,SMIYR,National,9.0,4.0,8357.0,7926.0,8811.0,,118111.0,91258.0,0.7378,226064654.0,0.036969,0.03506,0.038977,226.0,0.000998,-5.0,0.0,2009,3.6969000000000003
45502,serious mental illness in the past year,2008-2009,1.0,SMIYR,Northeast,9.0,4.0,1526.0,1387.0,1679.0,,23419.0,17507.0,0.7123,41901944.0,0.036422,0.033091,0.040075,75.0,0.001798,-4.0,0.12511248525220897,2009,3.6422000000000003
45622,serious mental illness in the past year,2008-2009,1.0,SMIYR,Midwest,9.0,4.0,1984.0,1828.0,2154.0,,33320.0,25744.0,0.7438,49602621.0,0.040006,0.036845,0.043426,84.0,0.001698,-3.0,0.10495606153730085,2009,4.0006
45742,serious mental illness in the past year,2008-2009,1.0,SMIYR,South,9.0,4.0,2957.0,2723.0,3210.0,,35358.0,28097.0,0.7579,82476278.0,0.035852,0.033013,0.038924,125.0,0.001521,-2.0,0.1301164934686291,2009,3.5852000000000004
45862,serious mental illness in the past year,2008-2009,1.0,SMIYR,West,9.0,4.0,1890.0,1711.0,2087.0,,26014.0,19910.0,0.7212,52083811.0,0.036282,0.032846,0.040064,97.0,0.00186,-1.0,0.1170429354473513,2009,3.6282
45982,serious mental illness in the past year,2008-2009,2.0,SMIYR,Alabama,9.0,4.0,124.0,96.0,159.0,2.0,1617.0,1255.0,0.7418,3480328.0,0.035674,0.027708,0.045823,16.0,0.004595,1.0,0.23253980558243703,2009,3.5673999999999997
46102,serious mental illness in the past year,2008-2009,2.0,SMIYR,Alaska,9.0,4.0,17.0,13.0,22.0,2.0,1539.0,1208.0,0.7717,486909.0,0.034881,0.02702,0.044925,2.0,0.00456,2.0,0.23176729791971265,2009,3.4881
46222,serious mental illness in the past year,2008-2009,2.0,SMIYR,Arizona,9.0,4.0,182.0,140.0,235.0,3.0,1546.0,1217.0,0.7716,4736205.0,0.038356,0.029606,0.049561,24.0,0.0051,4.0,0.2309586521646415,2009,3.8356000000000003
46342,serious mental illness in the past year,2008-2009,2.0,SMIYR,Arkansas,9.0,4.0,100.0,78.0,128.0,5.0,1553.0,1217.0,0.7586,2114004.0,0.047383,0.037089,0.060355,13.0,0.005968,5.0,0.2111778777889216,2009,4.7383
46462,serious mental illness in the past year,2008-2009,2.0,SMIYR,California,9.0,4.0,862.0,723.0,1025.0,1.0,6920.0,5098.0,0.6932,26898297.0,0.032031,0.026896,0.038107,77.0,0.002875,6.0,0.15611039996387777,2009,3.2030999999999996
46582,serious mental illness in the past year,2008-2009,2.0,SMIYR,Colorado,9.0,4.0,171.0,132.0,220.0,5.0,1588.0,1227.0,0.7548,3681144.0,0.046465,0.035943,0.059877,23.0,0.006227,8.0,0.24201488761442638,2009,4.6465
46702,serious mental illness in the past year,2008-2009,2.0,SMIYR,Connecticut,9.0,4.0,93.0,71.0,120.0,2.0,1636.0,1275.0,0.7456,2640507.0,0.035154,0.027013,0.045634,13.0,0.004766,9.0,0.25034292530610713,2009,3.5153999999999996
46822,serious mental illness in the past year,2008-2009,2.0,SMIYR,Delaware,9.0,4.0,23.0,18.0,30.0,2.0,1586.0,1263.0,0.75,657820.0,0.035468,0.027395,0.045809,3.0,0.004658,10.0,0.2672881282902733,2009,3.5468
46942,serious mental illness in the past year,2008-2009,2.0,SMIYR,District of Columbia,9.0,4.0,14.0,11.0,19.0,1.0,1532.0,1263.0,0.8057,472215.0,0.030586,0.023239,0.040162,2.0,0.004279,11.0,0.2430064091366167,2009,3.0585999999999998
47062,serious mental illness in the past year,2008-2009,2.0,SMIYR,Florida,9.0,4.0,512.0,435.0,601.0,3.0,6100.0,4915.0,0.7573,14065719.0,0.036379,0.03092,0.042758,43.0,0.003044,12.0,0.13554889366163003,2009,3.6379
47182,serious mental illness in the past year,2008-2009,2.0,SMIYR,Georgia,9.0,4.0,237.0,179.0,312.0,2.0,1463.0,1165.0,0.747,6977493.0,0.033912,0.025607,0.044786,34.0,0.004835,13.0,0.25722478827375855,2009,3.3911999999999995
47302,serious mental illness in the past year,2008-2009,2.0,SMIYR,Hawaii,9.0,4.0,30.0,23.0,39.0,1.0,1847.0,1270.0,0.6494,959278.0,0.031094,0.023607,0.040855,4.0,0.004431,15.0,0.18878194838536536,2009,3.1094
